fk_word,ex_en,word_pos_en,ex_es,word_pos_esp
58,She loves to make beautiful paintings in her free time.,4,Ella disfruta hacer bellos cuadros en su tiempo libre.,3
59,She will say that she is sorry.,3,Ella dirá que se disculpa.,0
60,Can you hand me these books on the top shelf?,5,Puedes pasarme estos libros en la parte superior de la estantería.,3
61,I need to find a way out of this house,6,Necesito encontrar un camino para salir de esta casa,4
62,She took a bit of chocolate from the jar.,4,Ella tomó un pedazo de chocolate del frasco.,4
63,The book fell down from the top shelf.,4,La libro cayó abajo desde la estantería superior.,4
64,Please turn the light off before leaving the room.,5,"Por favor, apaga la luz antes de salir del salón.",0
65,Can you take my bag while I go to the restroom?,3,Puedes tomar mi mochila mientras yo entro al baño.,2
66,She needs help with her homework.,0,Ella necesita ayuda con su tarea de la escuela.,0
67,The little dog ran quickly around the corner.,2,El perro pequeño corrió rápidamente alrededor del esquina.,3
68,She prefers chocolate than vanilla ice cream.,4,Preferiría chocolate que helado de vainilla.,3
69,Do you have any books on this subject?,4,¿Tienes algún libro sobre este tema?,2
70,you should try the new recipe for dinner tonight,2,deberías probar la nueva receta para cenar esta noche,0
71,The concert was great and the band really delivered.,4,La presentacion fue gran y la banda realmente lo dio todo.,0
72,Today is a beautiful day to go for a hike.,5,Hoy es un hermoso día para ir de senderismo.,5
73,She has been working hard all day to meet the deadline.,0,Ha estado trabajando duro toda la mañana para cumplir con la fecha límite.,0
74,She put the book on the table.,2,Ella pone la libro en la mesa.,0
75,She won a lot of money in the lottery.,4,Ella ganó un lote de dinero en la lotería.,4
76,The new smartphone is a great upgrade from my old model.,2,El nuevo teléfono es una gran mejora en comparación con mi modelo antiguo.,2
77,The last person to leave the party received a prize.,2,La persona última en salir de la fiesta recibió un premio.,0
78,I'll meet you today at lunch.,4,Me encontraré contigo hoy a la hora de almuerzo.,4
79,"She walked through the park, enjoying the scenery.",3,"Ella caminó a través del parque, disfrutando del paisaje.",0
80,The biggest planet in our solar system is Jupiter.,0,El planeta más grande del nuestro sistema solar es Júpiter.,4
81,The book was a thing of great interest to the historian.,5,El libro era una cosa de gran interés para el historiador.,5
82,I will meet you after the concert.,5,Me veré después de el concierto.,0
83,I'm going to invite those friends to the party tonight.,5,Estoy invitando a esos amigos al partido esta noche.,4
84,"The score was three, which is a good number for a beginner.",4,"El resultado fue tres, lo cual es un buen número para un principiante.",4
85,She bought the flowers last year and they are still fresh.,6,Ella compró las flores el pasado año y todavía están frescas.,7
86,The next meeting is scheduled for Friday at 2 PM.,2,El próximo reunión está programada para el viernes a las 14:00 PM.,0
87,She will find a way to solve the problem.,3,Ella encontrará una manera de solucionar el problema.,0
88,I'll meet you before we leave the house.,4,Me encontraré con ustedes antes de salir de la casa.,0
89,she dreamed of a better world for all humanity,6,ella soñaba con un mundo mejor para toda la humanidad,5
90,She loves reading books in her free time.,0,Ella ama leer libros en su tiempo libre.,0
91,The city has many tourists visiting every summer,4,La ciudad tiene muchos turistas visitando cada verano,4
92,I'd like to thank you for your help today.,4,Me gustaría agradecerle su ayuda hoy.,0
93,She returned home to find her family waiting for her.,3,Llegó a su hogar y encontró que su familia lo esperaba.,4
94,She gives her brother a book for his birthday.,0,Le da un libro a su hermano en su cumpleaños.,0
95,The park is around the corner from my house.,4,El parque está alrededor de la esquina de mi casa.,0
96,The man walked into the room.,2,El hombre caminó en la sala.,2
97,I'm saving up all my money for the summer vacation,6,Estoy ahorriendo todo mi dinero para el viaje de verano,5
98,The view from the top of the hill was nice.,10,El paisaje desde la cima de la colina era agregaible.,0
99,She came home to her old house after being away for several years.,7,Ella llegó a su viejo hogar después de haber estado lejos durante varios años.,0
100,She will tell me about the new movie tonight.,3,Ella me dirá sobre el nuevo mñvil esta noche.,0
101,She found her life in the arms of her partner.,4,Ella encontró su vida en los brazos de su pareja.,4
102,The long drive was tiring and uneventful.,2,El viaje largo fue aburrido y sin eventos.,3
103,It might rain tomorrow,2,Podría llover mañana,0
104,The old car was sold at an auction yesterday.,2,El coche viejo se vendó en una subasta ayer.,3
105,I'm sure I locked the door,2,Estoy seguro de que cerró la puerta,2
106,The place where we meet is on the beach.,2,El lugar donde nos encontramos es en la playa.,2
107,The cat chases its tail.,4,El gato persigue su cola.,0
108,The circus show was a hit with the audience.,3,El espectáculo del circo fue un éxito entre el público.,2
109,She finally reached the end of her journey after many years.,5,Finalmente llegó al fin de su viaje después de muchos años.,4
110,She starts her new business with a small loan.,0,Comienza su nueva empresa con un pequeño pría,0
111,The president was elected by the people to run the government effectively.,11,La presidencia fue elegida por los ciudadanos para gobernar el gobierno eficazmente.,11
112,Can you help me move this heavy box?,3,Puedes ayudarme a mover este caja pesada?,0
113,We eat breakfast every morning before school.,4,Comemos desayuno cada mañana antes de la escuela.,3
114,She feels like she's going to throw up after eating that spicy food.,0,Ella siente que va a vomitar después de comer ese alimento picoso.,0
115,I will keep the book on the shelf until it's needed again.,3,Guardar el libro en la estantería hasta que se necesite de nuevo.,1
116,She is proud to call that place her own.,9,Ella se siente orgullosa de llamar ese lugar su propio.,10
117,The merry-go-round was spinning quickly around its axis.,0,La carrosa de fiestas giraba rápidamente alrededor de su eje.,0
118,"She meant well, but her actions hurt someone's feelings.",0,Ella quería lo mejor para alguien pero sus acciones lastimaron los sentimientos de esa persona.,0
119,The kids love to play outside in the park.,5,Los niños aman jugar al aire libre en el parque.,4
120,You may go to the movies tonight if you promise to be back by midnight.,2,Puedes ir al cine esta noche si prometes regresar antes de la medianoche.,0
121,"After the wedding, we'll have a family dinner with our parents and siblings.",7,"Después del matrimonio, tendremos una cena familiar con nuestros padres y hermanos.",0
122,Can you please pass the salt?,3,Puedes por favor pasarme la sal?,0
123,I have four friends coming over tonight.,3,Tengo cuatro amigos vieniendo esta noche.,2
124,The store only had a few employees on duty.,6,El almacén solo tenía unos pocos empleados de guardia.,6
125,She took her part in the play and received a standing ovation.,4,Ella tomó su parte en la obra de teatro y recibió un aplauso de pie de pie.,4
126,The management team met to discuss the company's financial situation.,3,El equipo de gestión se reunió para discutir la situación financiera de la empresa.,2
127,you must try the new recipe tonight.,2,debemos probar la receta nueva esta noche.,0
128,She enrolled in a course to learn photography.,5,Ella inscribió en un curso para aprender fotografía.,5
129,She takes a week off after her birthday.,4,Ella toma una semana libre después de su cumpleaños.,4
130,She picked different colors for her outfit.,3,Ella eligió colores diferentes para su vestido.,0
131,The stars come out at night to twinkle in the sky.,6,Las estrellas salen de noche para brillar en el cielo.,5
132,I'm sorry to hear that you lost your job.,2,Me lo siento tener que decirte que perdiste tu trabajo.,0
133,She decided to try the recipe before serving it to guests.,4,Decidir intentar una receta antes de servirla a invitados,2
134,She thought it was the same movie as she saw last week.,6,Ella pensaba que era el mismo cine con lo que había visto la semana pasada.,6
135,The lovely view from the top of the mountain was breathtaking.,2,La vista encantadora desde la cima de la montaña era impresionante.,0
136,The United States of America is a country in North America.,8,Los Estados Unidos de América son un país en Norteamérica.,8
137,She has five siblings.,3,Tiene cinco hermanos.,2
138,She reached the top of the mountain and took a breathtaking view.,4,Ella alcanzó la cima del monte y tomó una vista impresionante.,0
139,The name on your passport is required for entry.,2,El nombre en tu pasaporte es requerido para entrada.,2
140,She sorted the books by author and title.,0,Ella ordenó los libros por autor y título.,0
141,She won the silver medal as her second place finish was impressive.,8,"Ella ganó la medalla de plata en segundo lugar, lo cual fue muy impresionante.",8
142,She put her hand on the head of the sleeping child to comfort it.,7,Ella puso su mano en la cabeza del niño dormido para consolarlo.,7
143,She is looking for a job in the city.,6,Está buscando un trabajo en la ciudad.,4
144,What is the capital of France?,0,¿Qué es la capital de Francia?,0
145,Can you see the point where the two roads meet?,5,Puedes ver el punto donde se encuentran las dos carreteras.,4
146,she showed a kind heart by helping those in need,4,ella mostró un corazón bueno al ayudar a aquellos que necesitaban ayuda,0
147,She needs a room to study for her exams.,4,Necesita una habitación para estudiar sus exámenes.,3
148,The book is under the table.,4,El libro está bajo la mesa.,0
149,The rock was hard and unyielding to the pickaxe.,4,El granito era duro y inquebrantable para la picadera.,4
150,It's wrong to speed on the highway.,2,Es incorrecto acelerar en la carretera.,2
151,She set the clock to the correct time.,2,Ella estableció la hora del reloj en el momento correcto.,0
152,this is the moment we've been waiting for,4,esto es el momento que hemos estado esperando,4
153,I need to consider both options for my project.,5,Necesito considerar ambos opciones para mi proyecto.,3
154,She took the important documents to the bank for safekeeping.,4,Ella llevó los documentos importantes a la banca para su seguridad.,0
155,She prefers to use public transportation to reduce her carbon footprint.,4,Ella prefiere usar el transporte público para reducir su huella de carbono.,3
156,She had a great idea for a new business venture.,5,Ella tenía una excelente idea para un nuevo negocio,5
157,She has hope that her new business will be successful.,3,Ella tiene esperar que su nuevo negocio sea exitoso.,3
158,The movie was bad and I didn't finish it.,4,El cine era malo y no lo terminé.,4
159,She had a happy memory of her childhood.,4,Tenía una feliz recuerdo de su infancia.,3
160,She needs to know the number of students in her class.,6,Ella necesita saber el número de estudiantes en su clase.,5
161,She believes that he is going to show up on time.,0,Ella cree que él va a llegar a tiempo.,0
162,What is the answer to life's greatest mystery?,4,¿Cuál es la respuesta al misterio más grande de la vida?,4
163,The concert was held between the old and new buildings,5,El concierto se celebró entre el antiguo y el nuevo edificio,5
164,She cut the cake into half for dessert.,6,Ella cortó el pastel en mitad para el postre.,6
165,Please stop the car before it crashes.,2,Por favor detén el coche antes que choque.,0
166,She decided to take the side of the law.,6,Ella decidió tomar el lado de la ley.,5
167,The whole pizza was devoured by the hungry family.,2,La pizza entera fue consumida por la familia hambrienta.,0
168,The new game is available for download on your computer.,3,El nuevo juego se encuentra disponible para descarga en tu computadora.,3
169,I'll call you when I arrive,2,Llamarás cuando llegue,0
170,This is a real opportunity for us to grow.,4,Esta es una oportunidad real para que nos encontremos a crecer,5
171,We will meet each other at the party tonight.,4,Nosotros nos encontraremos con cada uno del equipo en la fiesta de esta noche.,5
172,The cool water from the fountain provided a refreshing drink on a hot summer day.,3,El agua refrescante del borde del estanque proporcionó un refresco en un día caluroso de verano.,2
173,The high mountain peak was covered in snow.,2,El pico de la montaña alta estaba cubierto de nieve.,0
174,The couple is hosting a party at their new home,6,La pareja está alquilando una fiesta en su nuevo hogar,6
175,"She stood against the wall, looking out at the city.",3,"Ella se colocó contra la pared, mirando hacia la ciudad.",4
176,She was ready to leave at the airport.,3,Ella estaba lista para salir del aeropuerto.,0
177,Can you talk to me about your plans for the weekend?,3,Puedes hablar conmigo sobre tus planes para el fin de semana.,2
178,She remembers the name of her childhood dog.,0,Ella recuerda el nombre del perro de su infancia.,0
179,The new policy has created a major problem for small businesses.,8,La nueva política ha creado un problema grave para las pequeñas empresas.,7
180,The young actress won the award for her outstanding performance.,2,La joven actriz ganó el premio por su interpretación excepcional.,2
181,The police officer stopped the car for speeding on the highway,2,El oficial de policía detuvo el coche por conducir demasiado rápido en la autopista,4
182,She looked at him with such concern on her face.,6,Ella miraba a él con tal preocupación en su rostro.,6
183,She lives in Paris with her husband and two children.,0,Vive ella con su esposo y sus dos hijos en París.,0
184,I love taking a walk in the morning,8,Me encanta tomar un paseo en la mañana,8
185,The ferry sailed across the lake.,4,El barco del ferri cruzó el lago.,0
186,She won the election with a landslide victory.,0,Ella ganó la elección con una victoria abrumadora.,0
187,I'm going to leave for Paris tomorrow,4,Me voy a salir para París mañana,0
188,She likes to run in the park every morning.,4,Ella disfruta correr en el parque todos los mornings.,3
189,She decided to move to a new city for work.,4,Ella decidió mudarse a una nueva ciudad para trabajar.,0
190,She wants to change her career after graduating.,4,Ella quiere cambiar de carrera después de graduarse.,3
191,She is very dedicated to her business.,7,Ella es muy dedicada a su negocio.,7
192,She brought six cookies to share with her friends.,3,Ella trajo seis galletas para compartir con sus amigos.,3
193,She needed to clear her mind before going to bed.,6,Ella necesitaba aclarar su mente antes de acostarse.,5
194,She was able to finish the project on time.,3,Ella pudo terminar el proyecto a tiempo.,0
195,The final result was announced at the press conference.,2,El resultado final fue anunciado en la conferencia de prensa.,3
196,I have been studying English since I was a child.,6,He ha estado estudiando inglés desde que era niño.,6
197,My mum is making dinner tonight.,2,Mi mam¡ está haciendo la cena esta noche.,0
198,She took the chance and applied for her dream job.,4,Ella tomó la oportunidad y se postuló para el trabajo de sus sueños.,4
199,I'll study while I eat breakfast.,3,Estudiaré mientras como desayuno.,2
200,She has always believed in the importance of facts.,0,Ella siempre ha creído en la importancia de los hechos,0
201,The school is located in the heart of the city.,2,La escuela se encuentra en el corazón de la ciudad.,2
202,The fireworks display was fantastic.,5,La presentación de fuegos artificiales fue fantástica.,0
203,We're going to watch a movie tonight.,7,Vamos a ver una película esta noche.,0
204,She drew a straight line across the page.,5,Ella dibujó una línea recta a lo largo de la página.,4
205,I love eating a variety of foods from different cultures.,0,Me encanta comer una variedad de alimentos de diferentes culturas.,0
206,You need to turn the corner to get to the park.,4,Necesitas girar la esquina para llegar al parque.,2
207,The local cinema shows art-house films.,2,El cine local muestra películas de arte caseras.,3
208,The public library is open every day until 8pm.,2,La biblioteca pública está abierta todos los días hasta las 8 de la noche.,0
209,"The coffee was fine, so we'll stay for another cup.",4,"El café era finito, así que nos quedamos para otro vaso.",0
210,She wiped her face with a tissue after blowing her nose.,4,Ella se limpió la cara con un paño después de toser la nariz.,5
211,I need a car for my job.,4,Necesito un auto para mi trabajo.,0
212,I hear the birds singing outside my window.,2,Puedo escuchar los pájaros cantando en mi ventana,2
213,She held out her hand to shake your hand.,5,Ella extendió su mano para estrechar tu mano.,4
214,The detective was working on the toughest case of her career.,8,El detective estaba trabajando en el caso más difícil de su carrera.,7
215,The small dog ran quickly around the corner.,2,El perro pequeño corrió rápidamente alrededor de la esquina.,3
216,"I just lent him my tools, thanks!",7,"Me prestó sus herramientas, gracias!",5
217,She decided to go despite the rain though she didn't have an umbrella.,8,Ella decidió ir a pesar de la lluvia aunque no tenía sombrero.,9
218,"The sunset was beautiful, with hues of pink and orange.",4,"El atardecer fue hermoso, con tonos de rosa y naranja.",0
219,She spent hours listening to her grandmother's life story.,9,Ella pasó horas escuchando a su abuela sobre su historia de vida.,10
220,She walked up to the front of the stage to greet her fans.,6,Ella se acercó a la parte delantera de la escena para saludar a sus fanáticos.,0
221,the book fell off the shelf and landed behind it,9,el libro cayo del estante y se resbaló detrás de el,0
222,She and her partner have been together for over a decade.,0,Ella y su pareja han estado juntos durante más de una década.,4
223,My dad is going to the game tonight.,2,Mi papá está asistiendo al juego de este noche.,2
224,The park is open from dawn till dusk.,4,El parque está abierto desde el amanecer hasta la medianoche.,4
225,,0,,0
226,Can you ask me what my birthday is?,3,Puedes preguntarme cuál es mi cumpleaños?,0
227,We will meet at the park at 5pm.,3,Nos encontraremos en el parque a las 5 pm.,0
228,The difficult hike was worth the scenic views at the summit,2,El difícil sendero valió la vista panorámica en el pico,2
229,The area of the park is perfect for a picnic.,2,El área del parque es ideal para un picnic.,2
230,Can you bring me a book?,3,Puedes traerme un libro.,0
231,I need to pay the bill before we can leave.,4,Necesito pagar la cuenta antes de que podamos salir.,2
232,The full tank was ready for the road trip.,2,El tanque lleno estaba listo para el viaje de carretera.,3
233,I will study until Friday morning.,4,Estudiaremos hasta viernes por la mañana.,2
234,"The tour guide took us through the bustling streets of Paris, showcasing its iconic landmarks.",0,"El guía de turismo nos llevó por las calles bulliciosas de París, mostrando sus famosos monumentos icónicos.",0
235,She picked up the stuff from the storage room and carried it to her office.,5,Ella puso la cosas desde el almacén y las llevó a su despacho.,4
236,She decided to stay home and watch the movie.,4,Ella decidió quedarse en casa y ver el película.,3
237,She decided whether to stay home or go out with friends.,3,Decidir si quedarse en casa o salir con amigos.,2
238,I have ten dollars in my wallet.,3,Tengo diez dólares en mi bolsillo.,2
239,The company made a million dollars last year.,5,La empresa ganó un millón de dólares el año pasado.,5
240,I'll wait for you at the train station.,2,Esperaré por ti en la estación del tren.,0
241,I'm going to buy a new laptop today.,4,Voy a comprar un nuevo portátil hoy.,3
242,The house is her property and she can do with it as she likes.,5,La casa es su propiedad y puede hacer con ella lo que le guste.,5
243,The clear sky made it perfect for a picnic.,2,El cielo claro hizo que fuera perfecto para un pícnic.,3
244,She double-checked the math to ensure it was correct.,9,Ella revisó el cálculo dos veces para asegurarse de que fuera correcto.,12
245,The firework display was amazing on the 4th of July.,5,El espectáculo de fuegos artificiales fue increíble en el 4 de julio.,7
246,The meeting will be inside the conference room.,5,La reunión se celebrará dentro del salón de conferencias.,0
247,She cut her hair to match her new style.,2,Ella corta su cabello para coincidir con su nuevo estilo.,0
248,The crowd was dancing to the live music at the festival.,8,La multitud bailaba al vivo a la música en el festival.,8
249,The war in the east is causing widespread destruction.,2,La guerra en el este está causando destrucción generalizada.,2
250,She is a remarkable person.,5,Ella es una persona notable.,4
251,She took care of her children while her husband was away.,3,Ella se encargó de sus hijos mientras su esposo estaba lejos.,0
252,She was thrilled to get a good deal on her new car.,8,Ella se sintió emocionada al obtener un buen trato en su nuevo coche.,9
253,The firework exploded in brilliant colors across the night sky.,5,El fuego artificial explotó en colores brillantes a través el cielo nocturno.,0
254,She answered true to her age and experience when she took the test.,3,Ella respondió verdadera a su edad y experiencia cuando tomó el examen.,0
255,"She walked along the beach, feeling the sand between her toes.",3,"Ella caminó a lo largo de la playa, sintiendo el arena entre los dedos.",0
256,She kicked the ball into the goal.,4,Ella metió la pelota en el gol.,4
257,"The fireworks display was wonderful, filling the night sky with color and light.",5,"La presentación de fuegos artificiales fue maravillosa, llenando el cielo nocturno con colores y luces.",0
258,She needs to hold onto the door handle while it's closing.,4,Ella necesita sostener el mango de la puerta mientras está cerrándose.,3
259,This restaurant is known for its special menu items.,7,Este restaurante es conocido por sus platos del menó especial.,10
260,The early bird catches the worm.,2,El pájaro que canta temprano siempre encuentra el huevo del pichicho.,5
261,"The accident was going to happen, but the rain stopped it.",6,"El accidente iba a ocurrir, pero la lluvia lo detuvo.",0
262,The huge hotel had a swimming pool on its rooftop.,2,El enorme hotel tenía una piscina de natación en su azotea.,2
263,I found the instructions easy to follow.,5,Encontrá las instrucciones fácil de seguir.,4
264,I have less money than I had last year.,3,Tengo menos dinero que tenía el año pasado.,2
265,The party was a lot of fun to attend.,7,La fiesta fue una gran diversión para asistir.,6
266,The baseball player swung his bat and hit the ball out of the park,8,El bateador de béisbol golpeó el balón fuera del estadio,0
267,I will watch the sunset tonight.,3,Yo veré el atardecer esta noche.,0
268,The sir at the front desk was very helpful with my inquiry.,2,El señor del mostrador frontal fue muy útil con mi inquietud.,2
269,We will explore the future of space travel.,5,Exploraremos el futuro de la exploración espacial.,3
270,She broke her heart after the breakup.,4,Ella rompió su corazón después de la ruptura.,4
271,The historical museum is dedicated to the past of American art.,8,El museo histórico está dedicado al pasado de la arte americana.,7
272,The girl walked into the room alone.,2,La chica camina sola en el salón.,2
273,The teacher asked the students to repeat after her the word they had learned earlier today.,11,La profesora pidió a sus estudiantes que repitieran después de ella la palabra que habían aprendido más temprano hoy.,13
274,The baby laughed at the silly clown.,2,El bebé se rió del loco payaso.,2
275,She believes that everyone has the power to make a difference.,7,Ella cree que todos tienen el poder de hacer una diferencia.,7
276,She is the mother of two children.,4,Ella es la madre de dos niños.,4
277,The astronauts traveled through space to reach Mars.,5,Los astronautas viajaron por el espacio para llegar a Marte.,6
278,The team's coach received support from the players during the game.,5,El entrenador del equipo recibió el apoyo de los jugadores durante el partido.,7
279,She's always there for her best friend.,7,Ella siempre está allí para su mejor amigo.,8
280,You need to take the highway and then get on the road to reach the city.,12,Necesitas tomar la autopista y luego entrar en la carretera para llegar a la ciudad.,10
281,She went to the bank to withdraw some cash.,5,Ella fue al banco para sacar efectivo.,4
282,I am the least favorite person in this group,4,Soy la persona menos favorita en este grupo,0
283,I think the advice was worth taking and it helped me a lot in my career.,6,Pensé que la consejería había sido valer la pena y me ayudó mucho en mi carrera.,0
284,"She spent hours in her beautiful garden, admiring the flowers.",7,"Ella pasó horas en su hermoso jardín, admirando las flores.",7
285,She thought the concert was perfect and asked for an encore.,6,Ella pensó que la actuación fue perfecta y pidió una repetición.,0
286,"After a long day, she likes to rest on the couch.",8,"Después de un largo día, ella prefiere descansar en el sofá.",0
287,I need to check the price before I buy it.,6,Necesito verificar el precio antes de comprarlo.,4
288,The light in the room was too dim.,2,La luz en la habitación era demasiado débil.,2
289,The hike was interesting because it offered breathtaking views of the surrounding mountains.,4,El pícnic fue interesante porque ofreció vistas impresionantes de las montañas circundantes.,4
290,She decided to become a doctor after graduating from medical school.,4,Ella decidió convertirse en médico después de graduarse de la escuela de medicina.,0
291,The boy ran quickly around the corner.,2,El chico corrió rápidamente alrededor de la esquina.,2
292,She took a piece of candy from the jar.,4,Tomó una pieza de caramelo del frasco.,3
293,The new film was released on Friday.,3,La nueva película salió el viernes.,3
294,The company relies on its IT system to manage all its operations.,7,La empresa confía en su sistema informático para gestionar todas sus operaciones.,6
295,The black cat was sitting on the windowsill.,2,El gato negro estaba sentado sobre la ventana.,3
296,You need to open the door before entering the room.,6,Necesitas abrir la puerta antes de entrar en el salón.,4
297,I have to go back tomorrow.,6,Tengo que ir de vuelta mañana.,6
298,The father took his children to the park for a picnic.,2,El padre llevó sus hijos al parque para una pícnic,2
299,The white cat purred contentedly on my lap.,2,El gato blanco me purría contentamente en mi regazo.,3
300,Can you listen carefully to what he is saying?,3,Puedes escuchar atentamente lo que está diciendo.,2
301,She shall attend the meeting tomorrow.,2,Debera asistir a la reunion de mañana.,0
302,She took her lucky break to win the lottery.,0,Ella tomó su momento de buena suerte para ganar el bolso.,7
303,The strong man lifted the heavy box with ease.,2,El hombre fuerte levantó el pesado cofre con facilidad.,3
304,She was fascinated by the history of her family's homeland.,6,Ella estaba fascinada por la historia de el hogar de su familia.,6
305,The concert was free and open to everyone who wanted to attend.,4,El concierto fue gratuito y estaba abierto a todos aquellos que querían asistir.,0
306,The teacher will stand at the front of the classroom to lead the lesson.,4,La profesora se plantará en la frente del aula para dirigir la lección.,0
307,your opinion matters greatly in this conversation,0,tu opinión es muy importante en esta conversación,0
308,She's gonna love her new job.,2,Ella írá amar su nuevo trabajo.,0
309,The 20th century saw significant technological advancements.,3,El siglo XX vio avances tecnológicos significativos.,2
310,The new skyscraper will be a prominent landmark for the city's financial district.,0,El nuevo rascacielos será un punto de referencia destacado para el distrito financiero de la ciudad.,0
311,The town is famous for its historic architecture.,2,El pueblo es famoso por su arquitectura histórica.,2
312,She couldn't shake the sense of unease that had been growing all day,5,No pude sacudir el sentido de inquietud que había estado creciendo todo el día,5
313,She stood at the middle of the stage,5,Ella se encontraba en el medio del escenario,6
314,The glass will break if dropped on the floor.,4,El vidrio rompe si lo arroja sobre el piso.,0
315,She took the stage every minute to thank her fans,6,Ella salió al escenario cada minuto para agradecer a sus seguidores,6
316,The link to the website is on the homepage.,2,El enlace a la página web está en la portada.,2
317,The CEO of the company will be speaking at the conference today.,5,El director ejecutivo de la empresa hablará en la conferencia hoy.,6
318,The current state of the economy is a matter of great concern.,3,El estado actual de la economía es una cuestión de gran preocupación.,2
319,She works at the market selling fresh produce.,5,Ella trabaja en el mercado vendiendo productos frescos.,5
320,She got eight tickets for the concert.,3,Ella recibió ocho boletos para el concierto.,3
321,The woman in the photo smiled at me.,2,La mujer en la foto sonrió conmigo.,2
322,the cool air on a hot summer day feels refreshing,3,el aire fresco del verano caluroso se siente reconfortante,2
323,She decided to sell her old guitar online.,4,Decidió vender su viejo violín en línea.,2
324,The grass was green and fresh on the first day of spring.,4,El césped estaba verde y fresco en el primer día de primavera.,4
325,She has seven years of experience in marketing.,3,Tiene siete años de experiencia en marketing.,2
