fk_word,def_en,def_es,translation
114,to experience or be affected by something in a subjective way,experimentar o estar afectado por algo de manera subjetiva,sentir
115,to hold or maintain something in existence,sustener o mantener algo en existencia,guardar/mantener
116,relating to or characteristic of the individual who possesses something,relacionado con o característico del individuo que lo posee,propio/propia
117,A circle or sphere in shape.,Un círculo o esfera en forma.,ronda/redondo
118,to express a feeling or opinion,expresar un sentimiento o opinión,significar
119,to engage in an activity for enjoyment or recreation,participar en una actividad para el placer o la recreación,jugar
120,to have the power or permission to do something.,tener el poder o permiso para hacer algo.,poder (permiso)
121,"a group of people related by birth, marriage, or adoption","un grupo de personas relacionadas por nacimiento, matrimonio o adopción",familia
122,to request something in a polite manner,pedir algo de manera amable,complacer/por favor
123,the number that comes after three and before five,el número que viene después de tres y antes de cinco,cuatro
124,Not many; a small or insufficient number.,Poco; una cantidad pequeña o insuficiente.,pocos/pocas
125,A component or element that makes up the whole,Una parte o elemento que forma el todo,parte
126,a group of people working together for a common purpose,un grupo de personas trabajando juntas para un propósito común,equipo
127,it is necessary or required,es necesario o requerido,deber
128,a sequence of lessons or study periods offered by an institution,una secuencia de lecciones o períodos de estudio ofrecidos por una institución,curso
129,A period of seven days.,Un período de siete días.,semana
130,having a distinct character or quality,teniendo un carácter o calidad distinta,diferente
131,A period of darkness between sunset and sunrise.,Un período de oscuridad entre el atardecer y la aurora.,noche
132,expressing regret or apology for something unpleasant or disappointing.,expresando arrepentimiento o disculpa por algo desagradable o decepcionante.,lo siento/apenado
133,to make an effort to do something,intentar algo,intentar
134,having the same qualities or characteristics,tener las mismas cualidades o características,mismo/misma
135,pleasantly pleasing to the eye or mind,agradable y atractivo,encantador/encantadora
136,A country is a geographical territory with defined borders and a population.,Un país es un territorio geográfico con fronteras definidas y una población.,país
137,a numerical quantity equal to one followed by one zero,un número que consiste en uno seguido de cero,cinco
138,the best or highest part of something,la parte mejor o más alta de algo,superior/cima
139,A person's given identity,El nombre de una persona,nombre
140,A category or classification of things.,Una categoría o clasificación de cosas.,tipo/clase
141,occurring or coming after the first in a sequence of three,sucediendo o ocurriendo después del primero de una secuencia de tres,segundo/segunda
142,The head of a household is responsible for making financial decisions.,La cabeza de una familia es responsable de tomar decisiones financieras.,cabeza
143,A person's occupation or profession.,Una ocupación o profesión de una persona.,trabajo
144,a piece of information sought or required to be found,una pieza de información buscada o requerida,pregunta
145,a location on a surface or in space,un lugar en una superficie o en el espacio,punto
146,the quality of being gentle and generous,la calidad de ser amable y generoso,tipo/clase
147,A private space for sleeping and relaxation.,Un espacio privado para dormir y relajarse.,habitación/cuarto
148,located below something,ubicado debajo de algo,debajo de
149,extremely difficult to do or to get through.,extremadamente difícil de hacer o de superar.,duro/difícil
150,Not in accordance with facts or standards.,No acorde con hechos o normas.,incorrecto/equivocado
151,to fix something in a certain way,establecer algo de manera determinada,establecer/colocar
152,the present time or opportunity,el momento o oportunidad actual,momento
153,used to refer to two or more things at the same time,se usa para referirse a dos o más cosas al mismo tiempo,ambos/ambas
154,of great value or consequence,de gran valor o consecuencia,importante
155,to employ or utilize something for a particular purpose.,utilizar algo para un fin específico.,usar
156,A concept or notion that is conceived and entertained in the mind.,Un concepto o noticia concebida y considerada en la mente,idea
157,to feel a sense of optimism or confidence that something will happen or improve,sentirse optimista o confiado de que algo sucederá o mejorará,esperar
158,of poor quality,de mala calidad,malo/mala
159,Feeling or expressing great pleasure or joy.,Sentir o expresar gran placer o alegría.,feliz
160,A quantity or amount.,Una cantidad o cantidad,número
161,to consider something to be true,considerar algo como verdadero,creer
162,the ultimate response to a question,la respuesta definitiva a una pregunta,respuesta
163,used to indicate a position or time between two things,se utiliza para indicar una posición o tiempo entre dos cosas,entre
164,the amount or degree of something that is divided in two,la cantidad o grado de algo que se divide en dos,mitad
165,to come to an end or cessation,causar la cesación o el fin de algo,detener/parar
166,A location or area to which one is facing or turned.,Un lugar o área en dirección a la que se enfrenta o se vuelve.,lado
167,completely entire or undivided in amount or degree,entero o indiviso en cantidad o grado,entero/entera
168,A form of entertainment or leisure activity.,Una forma de entretenimiento o actividad de ocio.,juego
169,to communicate or summon someone by phone,comunicarse o llamar a alguien por teléfono,llamar
170,actually or actually being the case,de hecho o de hecho existente,real
171,used to indicate a singular quantity of a thing or person,se utiliza para indicar una cantidad única de algo o alguien,cada
172,"A clear, colorless, and odorless liquid substance that is essential for human life.","Una sustancia líquida clara, colorless y sin olor que es esencial para la vida humana.",agua
173,extremely tall or elevated in position,extremadamente alto o elevado en posición,alto/alta
174,"a social gathering with food, drink, and music","una reunión social con comida, bebida y música",fiesta/partido
175,opposed to something or someone,en contra de algo o alguien,contra
176,prepared for use or action.,preparado para uso o acción.,listo/lista
177,to communicate thoughts or opinions through speech,comunicarse a través del habla,hablar
178,to recall or bring back to mind,recordar o llevar a la mente,recordar
179,A situation or issue that needs to be solved or addressed.,Un problema que necesita resolverse o abordarse.,problema
180,relating to or characteristic of youth; fresh and vigorous.,relacionado o característico de la juventud; fresco y vigoroso.,joven
181,the police are responsible for maintaining law and order in a country,la policía es responsable de mantener el orden y la seguridad en un país,policía
182,to a great extent; very much,en un gran grado; muy mucho,tal
183,to exist or continue in a state of being.,existir o continuar en un estado de ser.,vivir
184,the time of day when the sun rises,el tiempo del día cuando el sol se levanta,mañana
185,used to indicate a direction or distance from one side of something to the other,se utiliza para indicar una dirección o distancia desde un lado de algo hasta el otro,a través de
186,to achieve or obtain a winning outcome,lograr un resultado ganador,ganar
187,to depart or go away from a place,salir de un lugar,dejar/salir
188,to move quickly on foot or by running,movirse con rapidez a pie o corriendo,correr
189,to change the position of something or someone,cambiar la posición de algo o alguien,mover/mudarse
190,to make something different or to cause something to become different,hacer que algo sea diferente o causar que algo cambie,cambiar
191,A person's occupation or profession.,Una ocupación o profesión de una persona.,negocio
192,The number that is one more than five and one less than seven.,El número que es uno más que cinco y uno menos que siete.,seis
193,the ability to think and reason,la capacidad de pensar y razonar,mente
194,Having or showing the quality of being able.,Tener o mostrar la calidad de ser capaz.,capaz
195,Ultimately decided or agreed upon.,Ultimadamente decidido o acordado.,final
196,used to indicate a starting point or period of time,usado para indicar un punto de partida o período de tiempo,desde
197,the mother of one's children,la madre de los hijos de una persona,mamá
198,a possibility for something to happen or be true,una posibilidad para que algo suceda o sea cierto,oportunidad
199,used to indicate a point of time or period during which an action takes place.,utilizado para indicar un momento o período durante el cual se realiza una acción.,mientras
200,a true statement or assertion about a matter of fact.,una afirmación verdadera sobre un hecho,hecho
201,a place where students go to learn and study,un lugar donde los estudiantes van a aprender y estudiar,escuela
202,extremely good or exciting.,muy bueno o emocionante.,fantástico/fantástica
203,the time of night in the present or near future,el momento de la noche en el presente o cercano futuro,esta noche
204,A line is a continuous sequence of points extending infinitely in two directions.,Una línea es una secuencia continua de puntos que se extiende infinitamente en dos direcciones.,línea
205,The food on the table is stale.,La comida en la mesa está vencida.,comida
206,to cause something to change direction or position,causar que cambie dirección o posición,girar/cambiar
207,Relating to or occurring in the same region as a particular place or area.,Relacionado con o ocurriendo en el mismo lugar o área.,local
208,open to everyone; accessible,abierto/a al público; accesible,público/pública
209,satisfactory or acceptable,satisfactorio o aceptable,bien/fino
210,The face is the visible part of a person's head that shows their emotions.,La cara es la parte visible de la cabeza que muestra las emociones de una persona.,cara
211,A car is a road vehicle that is designed to carry people or goods.,Un coche es un vehculo de camino que se diseina para llevar personas o mercancas.,coche/auto
212,to perceive sound as it is made,perceber sonido como lo que se hace,escuchar/oír
213,The hand is a part of the human body used for grasping and manipulating objects.,La mano es una parte del cuerpo humano utilizada para agarrar y manipular objetos.,mano
214,A case is a set of circumstances or conditions.,Un caso es un conjunto de circunstancias o condiciones.,caso
215,not large in size or amount,pequeño o pequeña en tamaño o cantidad,pequeño/pequeña
216,expression of politeness or gratitude in response to a kindness or favor,expresión de cortesía o gratitud en respuesta a una amabilidad o beneficio,gracias
217,used to indicate contrast between two ideas or situations.,se utiliza para indicar la oposición entre dos ideas o situaciones.,aunque
218,extremely pleasing to the senses,muy agradable,bello/bella/hermoso/hermosa
219,a sequence of events or experiences related to the human condition,una secuencia de eventos o experiencias relacionados con la condición humana,historia
220,the part of the human body that contains the eyes and nose.,el parte del cuerpo humano que contiene los ojos y la nariz.,frente
221,used to indicate location or position behind something,usado para indicar la ubicacion o posicion detrás de algo,detrás de
222,a pair of things that are related in some way,una pareja de cosas que están relacionadas de alguna manera,pareja
223,A father or male parent.,Un padre o padre masculino.,papá
224,capable of being accessed or used,capaz de ser accedido o utilizado,abierto/abierta
225,"information about current events,",,noticias
226,to request information or something,solicitar información o algo,preguntar
227,to come into contact with someone or something again,"llamarse, conocerse",encontrar/conocer
228,requiring great effort or skill to accomplish,requiriendo gran esfuerzo o habilidad para lograr,difícil
229,A region or space defined by boundaries or limits.,Un espacio o área definida por límites o limitaciones.,área/zona
230,to move something from one place to another,movilizar algo de un lugar a otro,traer
231,to give something in exchange for money,dar algo a cambio de dinero,pagar
232,completely filled or occupied,completamente lleno o ocupado,lleno/llena
233,until means the point or period at which something stops or ends,hasta significa el punto o período en el que algo deja de estar activo,hasta
234,A city is a large human settlement in which people live and work.,Una ciudad es un gran asentamiento humano en el que las personas viven y trabajan.,ciudad
235,a thing or things considered as a whole.,un conjunto o cosas consideradas como un todo.,cosas
236,to remain in a place or situation,quedarse en un lugar o situación,quedarse
237,used to indicate a choice or decision between two options,usado para indicar una elección o decisión entre dos opciones,si
238,a numerical value equal to ten,un número que equivale a diez,diez
239,a large but not extremely large number,una gran pero no extremadamente grande cantidad,millón
240,to hold one's course or action until something happens or until a specific time,sustener el curso o acción hasta que ocurra algo o hasta una determinada hora,esperar
241,to purchase something for money,comprar algo con dinero,comprar
242,A thing that belongs to someone or something.,Un bien que pertenece a alguien o algo.,propiedad
243,free from obstacles or difficult to understand,libre de obstáculos o difícil de entender,claro/clara
244,In a precise and accurate manner.,De manera precisa y exacta.,correcto/correcta
245,extremely good or impressive,muy bueno o impresionante,increíble
246,Located within something,Ubicado dentro de algo,dentro de
247,to sever or divide something into two parts,separar o dividir algo en dos partes,cortar
248,the sound or activity of playing music,el sonido o actividad de tocar música,música
249,a state of armed conflict between nations or groups,un estado de conflicto armado entre naciones o grupos,guerra
250,A human being.,Una persona.,persona
251,the act of showing concern for someone's well-being,el acto de mostrar preocupación por el bienestar de alguien,cuidado
252,a bargain or agreement reached after negotiation,un acuerdo o trato alcanzado después de negociación,trato
253,extremely talented or impressive,muy talentoso o impresionante,brillante
254,true is a word used to describe something that is factually correct or accurate.,verdadero es un adjetivo que se utiliza para describir algo que es factualmente cierto o preciso.,verdadero/verdadera
255,moving or extending in a continuous line or course,moviéndose o extendiéndose en una línea o curso continuo,a lo largo de
256,"A round object made of leather or synthetic materials, used for playing sports.","Un objeto redondo hecho de cuero o materiales sintéticos, utilizado para jugar deportes.",pelota/bola
257,extremely good or pleasing.,muy bueno o agradable.,maravilloso/maravillosa
258,to grasp or keep something in one's hand,sostener algo en la mano o en la suya,sostener
259,Characterized by being exceptional or unusual in some way.,Caracterizado por ser excepcional o uncommon en algún sentido.,especial
260,occurring or happening at the beginning of a period of time,ocurriendo o sucediendo al comienzo de un período de tiempo,temprano
261,to occur or take place,ocurrir o suceder,suceder/ocurrir
262,extremely large in size or amount,extremadamente grande en tamaño o cantidad,enorme
263,requiring little effort or skill,requiriendo poco esfuerzo o habilidad,fácil
264,used to indicate a decrease or degree,se utiliza para indicar una disminución o grado,menos
265,A feeling of enjoyment or amusement.,Un sentimiento de disfrute o diversión.,diversión
266,to strike or come into contact with something,golpear a algo o alguien,golpear
267,to see or behold,ver o mirar algo o a alguien,ver/mirar
268,"A title of respect used to address a man, especially one in a position of authority.","Un título de respeto utilizado para dirigirse a un hombre, especialmente uno en una posición de autoridad.",señor
269,the time after the present or past,el tiempo después del presente o pasado,futuro
270,the central organ of the circulatory system,el órgano central del sistema cardiovascular,corazón
271,used to describe something that happened before the present time,señala algo que ocurrió antes del tiempo presente,pasado/pasada
272,A young female human.,Una joven chica humana.,chica/niña
273,A word is a unit of language that expresses a meaning or concept.,Una palabra es un unidad de lenguaje que expresa una significado o concepto.,palabra
274,a young human from birth,un niño desde el nacimiento,bebé
275,the ability or capacity to do something or act in a particular way,la capacidad o facultad para hacer algo o actuar de una manera particular,poder
276,A female parent of a child.,La madre de un niño es la persona que lo ha parido y lo crió.,madre
277,A region in the universe that is not occupied by anything.,Una región en el universo que no está ocupada por nada.,espacio
278,The act or state of helping or assisting someone or something.,El acto o estado de ayudar o apoyar a alguien o algo.,apoyo
279,a person liked or trusted for companionship,una persona a quien se le gusta la compañía,amigo/amiga
280,a public route for vehicular or pedestrian traffic,una ruta pública para el tráfico de vehículos o peatones,carretera/camino
281,A financial institution where deposits are accepted and withdrawals are made.,Una institución financiera donde se aceptan depósitos y se realizan retiradas.,banco
282,the smallest amount or degree,la cantidad o grado más pequeño,menor/menos
283,having a value or quality that makes something desirable or valuable.,teniendo un valor o calidad que hace que algo sea deseable o valioso.,valer la pena
284,A garden is a planned space for growing plants.,Un jardín es un espacio planificado para cultivo de plantas.,jardín
285,"extremely good or faultless in quality, situation, or performance.","muy bueno o defectuoso en calidad, situación o desempeño.",perfecto/perfecta
286,a period of time spent sleeping or inactivity,un período de tiempo dedicado al sueño o inactividad,descanso/resto
287,The price of a house can vary greatly depending on location.,El precio de una casa puede variar mucho dependiendo del lugar.,precio
288,A source of illumination.,Una fuente de iluminación.,luz
289,Providing a good balance of challenges and rewards can make an experience interesting.,Prestar un buen equilibrio de desafíos y recompensas puede hacer que una experiencia sea interesante.,interesante
290,to change or develop into something else,cambiar o desarrollarse en algo,llegar a ser/convertirse en
291,a young male person,un niño joven,chico/niño
292,A part or portion of something.,Una parte o fragmento de algo.,pieza/pedazo
293,A recording of events in the past or present that are intended to be entertaining,Una grabación de eventos pasados o presentes destinados a ser entretenido,película
294,a set of things working together as parts of a whole,un conjunto de cosas que trabajan juntas como partes de un todo,sistema
295,of the color between blue and brown,de la color entre azul y marrón,negro/negra
296,A door is a movable structure used to open access to a room or building.,Una puerta es una estructura móvil utilizada para abrier acceso a un habitáculo o edificio.,puerta
297,the day after the current day,el día después del día actual,mañana
298,A father is a male parent of a child.,Un padre es un hombre que es el progenitor de un hijo.,padre
299,White is a color that is often associated with purity and innocence.,Blanco es un color que se asocia comúnmente con la pureza y la inocencia.,blanco/blanca
300,to hear or attend to the sound of something,oír o prestar atención al sonido de algo,escuchar
301,used to express future obligation or necessity,se utiliza para expresar la obligacion o necesidad futura,deber (futuro)
302,a favorable set of circumstances that helps a person succeed,un conjunto de circunstancias favorables que ayudan a una persona a tener éxito,suerte
303,having or showing great physical or mental power,teniendo o mostrando gran poder físico o mental,fuerte
304,"The study of past events, especially human affairs.","El estudio de los acontecimientos pasados, especialmente las cosas humanas.",historia
305,not having to pay or give something in exchange,no tener que pagar o dar algo a cambio,libre/gratis
306,to be in a position of authority or control,estar en una posición de autoridad o control,estar de pie
307,the subject or main point of discussion,el tema o asunto principal de debate,asunto/materia
308,a contraction of 'going to' used informally in American English.,una contracción de 'volver a' usado informalmente en inglés estadounidense.,ir a (contracción)
309,A century is a period of one hundred years.,Un siglo es un período de uno cien años.,siglo
310,A building is a structure that serves as the basic unit of a settlement or town.,Un edificio es una estructura que sirve como unidad básica de un asentamiento o pueblo.,edificio
311,A small group of people living in a particular place.,Un grupo pequeño de personas que viven en un lugar específico.,pueblo/ciudad
312,a feeling or meaning that something gives to someone,un sentimiento o significado que algo da a alguien,sentido
313,the middle point or position of something,el punto o posición central de algo,medio/centro
314,to shatter or fracture something into pieces,romper algo o causar que se parta en pedazos,romper
315,a unit of time equal to 60 seconds,una unidad de tiempo equivalente a 60 segundos,minuto
316,A connection or association between two things.,Un enlace o asociación entre dos cosas.,enlace/vínculo
317,A business or organization that engages in a particular activity or profession.,Una empresa o organización que se dedica a una actividad o profesión particular.,empresa/compañía
318,A particular situation or condition,Un estado específico o condición,estado
319,A place where goods and services are bought and sold.,Un lugar donde se compran y venden bienes y servicios.,mercado
320,a numerical value equal to ten,un número cuyo valor es diez,ocho
321,A woman is an adult human female.,Una mujer es una mujer adulta.,mujer
322,the air around us is essential for breathing,el aire que nos rodea es esencial para respirar,aire
323,to offer or provide something in exchange for money,ofrecer o proporcionar algo a cambio de dinero,vender
324,Characterized by a color that is not brown or black.,Caracterizada por un color que no es marrón o negro.,verde
325,The number that comes after six and before eight.,El número que viene después de seis y antes de ocho.,siete
326,to feel a strong sense of loss or longing for something or someone.,sintir una fuerte sensación de pérdida o anhelo por algo o alguien.,extrañar/fallar
327,The pressure was building as the storm approached.,La presión era alta en el sistema de control.,presión
328,A book is a written or printed work consisting of pages glued or sewn together along one side and bound in covers.,Un libro es un trabajo escrito o impreso que consta de páginas pegadas o cosidas por un lado y encuadernado en tapas.,libro
329,arriving or coming after the expected or usual time.,llegando o llegando después de la hora esperada o habitual.,tarde
330,to take food into the body,tomar alimento en el cuerpo,comer
331,A large body of saltwater,Un gran cuerpo de agua salada,mar
332,The kitchen is a room where food and cooking are prepared.,La cocina es un espacio donde se prepara la comida y se cocina.,cocina
333,relating to or characteristic of a nation.,relacionado con o característico de un país.,nacional
334,capable of being done or existed,capaz de ser hecho o existido,posible
335,A plan or schedule for something to be done,Un plan o calendario para algo que debe hacerse,programa
336,a detailed proposal or scheme for achieving a goal,un proyecto detallado o esquema para lograr un objetivo,plan
337,a short burst of sound or a sudden movement,un breve estallido de sonido o un movimiento repentino,disparo/tomada
338,a public road for vehicular traffic,una vía pública para el tráfico de vehículos,calle
339,A particular kind of activity or effort provided for the benefit of others.,Un tipo específico de actividad o esfuerzo proporcionado a favor de los demás.,servicio
340,A fish is a vertebrate aquatic animal.,Un pez es un animal acuático vertebrodo,pez/pescado
341,to move at a pace that is typically steady and smooth,moverse a un ritmo que suele ser constante y suave,caminar
342,an event or situation that tests one's ability,un evento o situación que prueba la capacidad de alguien,desafío/reto
343,A device used for communicating over long distances,Un dispositivo utilizado para comunicarse a largas distancias,teléfono
344,A planned amount of money to be spent on expenses during a particular period of time.,Un monto planificado de dinero para ser gasto en gastos durante un período determinado de tiempo.,presupuesto
345,The reason for a particular action or decision is the underlying cause that motivates it.,La razón de un determinado acto o decisión es la causa subyacente que la motiva.,razón
346,the surface on which something is based or supported,el suelo o terreno sobre el que algo se apoya,suelo/terreno
347,A platform for performance or competition,Un punto de presentación o competencia,etapa/escenario
348,A collection of people or things that are similar or belong together.,Un conjunto de personas o cosas que son similares o pertenecen juntos.,grupo
349,A central part or location of something.,Un centro o lugar central de algo.,centro
350,A natural phenomenon characterized by the rapid oxidation of fuel sources.,Un fenómeno natural caracterizado por la rápida oxidación de fuentes de combustible.,fuego
351,the stage of life at which a person can reproduce,la etapa de la vida en la que una persona puede reproducirse,edad
